class_name,precision,recall,f1_score,support
Anak,1.0000,0.9000,0.9474,10
Apa,1.0000,0.7000,0.8235,10
Asal,1.0000,1.0000,1.0000,10
Ayah,0.8333,1.0000,0.9091,10
Bagaimana,1.0000,1.0000,1.0000,10
Baik,1.0000,0.9000,0.9474,10
Belajar,0.9000,0.9000,0.9000,10
Berdiri,1.0000,1.0000,1.0000,10
Bingung,0.9000,0.9000,0.9000,10
Dan,0.8333,1.0000,0.9091,10
Dia,0.9091,1.0000,0.9524,10
Dimana,0.7692,1.0000,0.8696,10
Duduk,1.0000,1.0000,1.0000,10
Guru,1.0000,1.0000,1.0000,10
Halo,1.0000,0.9000,0.9474,10
Hari ini,1.0000,1.0000,1.0000,10
Hobi,0.7143,1.0000,0.8333,10
Ibu,1.0000,0.6000,0.7500,10
Kalian,1.0000,0.9000,0.9474,10
Kami,0.8182,0.9000,0.8571,10
Kamu,0.9091,1.0000,0.9524,10
Kapan,1.0000,0.7000,0.8235,10
Keluarga,0.8000,0.8000,0.8000,10
Kita,0.8333,1.0000,0.9091,10
Lagi,1.0000,1.0000,1.0000,10
Makan,1.0000,1.0000,1.0000,10
Malam,1.0000,0.6000,0.7500,10
Mandi,0.7692,1.0000,0.8696,10
Marah,0.8333,1.0000,0.9091,10
Melihat,0.9000,0.9000,0.9000,10
Membaca,0.9000,0.9000,0.9000,10
Mengapa,1.0000,0.9000,0.9474,10
Menulis,0.9091,1.0000,0.9524,10
Mereka,1.0000,1.0000,1.0000,10
Minum,1.0000,1.0000,1.0000,10
Nama,1.0000,0.9000,0.9474,10
Olahraga,0.9091,1.0000,0.9524,10
Pagi,1.0000,1.0000,1.0000,10
Ramah,1.0000,1.0000,1.0000,10
Sabar,1.0000,1.0000,1.0000,10
Saya,1.0000,0.9000,0.9474,10
Sedih,0.9091,1.0000,0.9524,10
Sekian,1.0000,0.9000,0.9474,10
Selamat,0.9000,0.9000,0.9000,10
Senang,0.9091,1.0000,0.9524,10
Siang,1.0000,1.0000,1.0000,10
Siapa,1.0000,1.0000,1.0000,10
Teman,1.0000,0.7000,0.8235,10
Terima Kasih,1.0000,1.0000,1.0000,10
Tidur,1.0000,1.0000,1.0000,10
